ffxml_name,data_type,test_system,units,HarmonicBondForce,HarmonicAngleForce,PeriodicTorsionForce_dihedrals,PeriodicTorsionForce_impropers,NonbondedForce
ffxml/ff14SB.xml,AMBER,protein-ala_ala_ala,kilojoule/mole,18.088200971251354,70.43390880618972,83.80588574356716,0.514380031066139,-130.98856818675995
ffxml/ff14SB.xml,OpenMM,protein-ala_ala_ala,kilojoule/mole,18.088200971251354,70.43384783951842,83.8059193183417,0.5145181326997772,-130.98852574825287
ffxml/ff14SB.xml,abs(AMBER-OpenMM)/AMBER,protein-ala_ala_ala,,0.0,8.655869357856618e-07,4.006254958828452e-07,0.000268481716430369,-3.2398634222469285e-07
ffxml/ff14SB.xml,AMBER,protein-villin headpiece,kilojoule/mole,542.2650574176754,1261.6891595214865,1812.1299922947414,84.39366731065275,-3675.0629179195967
ffxml/ff14SB.xml,OpenMM,protein-villin headpiece,kilojoule/mole,542.2650574176754,1261.6872642159715,1812.129682907248,84.15501470060735,-3675.0628400389105
ffxml/ff14SB.xml,abs(AMBER-OpenMM)/AMBER,protein-villin headpiece,,0.0,1.502196876909087e-06,1.7073140157279515e-07,0.0028278497386173868,-2.1191660629605853e-08
ffxml/ff14SB.xml,AMBER,nucleic-DNA,kilojoule/mole,8062.58678624934,86432.21258940562,9519.512014780783,248.0642345566489,83954.91361223906
ffxml/ff14SB.xml,OpenMM,nucleic-DNA,kilojoule/mole,8062.58678624934,86432.21437660584,9519.512377874365,249.16962572306898,83954.91404742748
ffxml/ff14SB.xml,abs(AMBER-OpenMM)/AMBER,nucleic-DNA,,0.0,2.067747853859298e-08,3.814203732294937e-08,0.00445606827762043,5.1835966942485e-09
ffxml/ff14SB.xml,AMBER,nucleic-RNA,kilojoule/mole,1922.0866981837933,7738.2501663624735,2753.918177413638,75.00816251174547,890.8151448667049
ffxml/ff14SB.xml,OpenMM,nucleic-RNA,kilojoule/mole,1922.0866981837933,7738.2569055468175,2753.9186167853522,89.23233614287892,890.8153691142797
ffxml/ff14SB.xml,abs(AMBER-OpenMM)/AMBER,nucleic-RNA,,0.0,8.708925401942328e-07,1.595442150899507e-07,0.18963500977518416,2.517330066719601e-07
ffxml/ff14SB.redq.xml,AMBER,protein-ala_ala_ala,kilojoule/mole,18.088200971251354,70.43390880618972,83.80588574356716,0.514380031066139,18.313657224178314
ffxml/ff14SB.redq.xml,OpenMM,protein-ala_ala_ala,kilojoule/mole,18.088200971251354,70.43384783951842,83.8059193183417,0.5145181326997772,18.31369775533676
ffxml/ff14SB.redq.xml,abs(AMBER-OpenMM)/AMBER,protein-ala_ala_ala,,0.0,8.655869357856618e-07,4.006254958828452e-07,0.000268481716430369,2.2131657238705446e-06
ffxml/ff14SB.redq.xml,AMBER,protein-villin headpiece,kilojoule/mole,542.2650574176754,1261.6891595214865,1812.1299922947414,84.39366731065275,-3312.097779661184
ffxml/ff14SB.redq.xml,OpenMM,protein-villin headpiece,kilojoule/mole,542.2650574176754,1261.6872642159715,1812.129682907248,84.15501470060735,-3312.097775928676
ffxml/ff14SB.redq.xml,abs(AMBER-OpenMM)/AMBER,protein-villin headpiece,,0.0,1.502196876909087e-06,1.7073140157279515e-07,0.0028278497386173868,-1.1269317202335151e-09
ffxml/ff14SB.redq.xml,AMBER,nucleic-DNA,kilojoule/mole,8062.58678624934,86432.21258940562,9519.512014780783,248.0642345566489,-26446.41858741641
ffxml/ff14SB.redq.xml,OpenMM,nucleic-DNA,kilojoule/mole,8062.58678624934,86432.21437660584,9519.512377874365,249.16962572306898,-26446.418964173645
ffxml/ff14SB.redq.xml,abs(AMBER-OpenMM)/AMBER,nucleic-DNA,,0.0,2.067747853859298e-08,3.814203732294937e-08,0.00445606827762043,-1.4246058803372802e-08
ffxml/ff14SB.redq.xml,AMBER,nucleic-RNA,kilojoule/mole,1922.0866981837933,7738.2501663624735,2753.918177413638,75.00816251174547,-8778.728217924014
ffxml/ff14SB.redq.xml,OpenMM,nucleic-RNA,kilojoule/mole,1922.0866981837933,7738.2569055468175,2753.9186167853522,89.23233614287892,-8778.728213662282
ffxml/ff14SB.redq.xml,abs(AMBER-OpenMM)/AMBER,nucleic-RNA,,0.0,8.708925401942328e-07,1.595442150899507e-07,0.18963500977518416,-4.854612189427412e-10
ffxml/ff14SBonlysc.xml,AMBER,protein-ala_ala_ala,kilojoule/mole,18.088200971251354,70.43390880618972,84.12011245764643,0.514380031066139,-130.98856818675995
